model,mae,mse,rmse,r2,accuracy,f1_score,auc
lstm,1.0772217512130735,1.7346960306167605,1.3170785969777052,,0.9520459787260248,0.9754011600338992,0.7502891960398179
lstm_attention,1.0719441175460815,1.725316047668457,1.3135128654369763,0.1199773550033569,0.9522426042256402,0.9754789672178706,0.7683837907406119
bilstm,1.070779800415039,1.7246568202972412,1.313261900877826,0.1203135848045349,0.952114910654051,0.9753932578397516,0.7801180361531448
transformer,1.0780636072158813,1.734273076057434,1.3169180217680347,0.11540865898132324,0.9521002202431602,0.9754056318480473,0.766434386788845
